house,avg_weekly_packs,avg_weekly_spend,avg_weekly_vol,shops,brands,max_spend,min_spend,prop_promo_price,prop_promo_units,avg_weekly_visits,cust_type
10112,1.16666666666667,2.95333333333333,0.231566666666667,3,2,3.49,1.59,0.285714285714286,0.285714285714286,1,Heavy
10456,1,3.525,0.1001,1,1,3.78,2,0.125,0,1,Light
10570,1,2,0.1001,1,1,2,2,1,0,1,Light
10752,1,3.60666666666667,0.115033333333333,2,3,3.92,3,0.333333333333333,0,1,Light
10761,1,4.83333333333333,0.283233333333333,1,1,5,4,0.833333333333333,0,1,Heavy
10900,2,4.5,0.0998,1,1,2.5,2,0.5,0.5,1,Light
10934,1,3,0.1,1,1,3,3,1,0,1,Light
10979,1,3.3,0.1001,1,1,3.3,3.3,0,0,1,Light
11023,1.86666666666667,6.24,0.325586666666667,3,4,5,1.99,0.857142857142857,0,1.06666666666667,Heavy
11271,1,3,0.1001,1,1,3,3,1,0,1,Light
11274,2.41666666666667,7.19833333333333,0.476441666666667,2,3,4,2.47,0.827586206896552,0,1.16666666666667,Heavy
11354,1.58333333333333,3.875,0.104033333333333,1,3,4,2,0.368421052631579,0,1,Light
11398,2,7,0.3,1,1,3.5,3.5,1,0,1,Heavy
11779,1,1.99,0.1001,1,1,1.99,1.99,0,0,1,Light
11820,1.17857142857143,4.835,0.293114285714286,1,3,5,2.47,0.848484848484849,0,1.07142857142857,Heavy
12218,1,1.39,0.1001,1,1,1.39,1.39,0,0,1,Light
12936,1.84615384615385,6.66846153846154,0.415230769230769,2,3,5,1.49,0.583333333333333,0.291666666666667,1.07692307692308,Heavy
12981,1.14285714285714,5.14285714285714,0.342742857142857,1,1,5,4,1,0,1,Heavy
13025,1.8,4.564,0.35982,1,1,4.5,2.29,0.888888888888889,0,1,Heavy
13095,1,4,0.2999,1,1,4,4,1,0,1,Heavy
13160,1.16666666666667,4.70833333333333,0.2366,1,3,5,2.99,0.857142857142857,0,1,Heavy
13496,1,2.98,0.0499,1,1,2.98,2.98,0,0,1,Light
13650,2,6.29,0.3899,2,2,3.29,3,0.5,0,1,Heavy
13757,1.66666666666667,4.82666666666667,0.231666666666667,3,3,3.5,2.49,0.4,0,1,Heavy
13769,1,3.3,0.1001,1,1,3.3,3.3,1,0,1,Light
13882,1.125,0.5625,0.1126125,1,1,0.5,0.5,0,0,1,Light
14162,1,1.52,0.1001,1,1,1.52,1.52,0,0,1,Light
14668,1.57142857142857,5.85714285714286,0.307,1,2,4,3,1,0,1.14285714285714,Heavy
14829,1,3.20666666666667,0.1166,2,3,5,2.25,0.666666666666667,0,1,Light
14847,1.4,5.304,0.23297,3,2,4.5,3,0.857142857142857,0,1,Heavy
14852,1.5,5.165,0.241616666666667,2,3,4.99,2.5,0.444444444444444,0.222222222222222,1,Heavy
14952,2,8.25,0.48755,1,2,7,2,0.375,0,1,Heavy
14979,1,1.75,0.1001,1,1,1.75,1.75,0,0,1,Light
14996,1,4.99333333333333,0.233233333333333,2,1,5,4.98,0.666666666666667,0,1,Heavy
15183,1.33333333333333,2.7,0.2632,2,2,2.97,1.59,0,0,1,Heavy
15188,1,3.4725,0.1001,2,1,3.99,3.3,0.25,0,1,Light
15301,1.1,2.809,0.08891,2,1,3.3,2,0.545454545454545,0,1,Light
15335,1,3.6,0.1001,1,1,3.6,3.6,0,0,1,Light
15336,1,2.83333333333333,0.100066666666667,2,2,3.5,2,0.666666666666667,0,1,Light
15470,1.4,6.478,0.3799,1,1,5,2.78,0.428571428571429,0,1.2,Heavy
15488,1,3.758,0.2559,1,2,4.89,2.97,0.8,0,1,Heavy
15662,1.64705882352941,5.14882352941176,0.260894117647059,2,4,5,1.49,0.892857142857143,0.107142857142857,1,Heavy
15732,1,0.47,0.1001,1,1,0.47,0.47,0,0,1,Light
16015,1.66666666666667,3.09,0.333166666666667,1,1,1.95,1.79,0.4,0,1,Heavy
16162,1,2,0.1001,1,1,2,2,1,0,1,Light
16581,1,1.39,0.1001,1,1,1.39,1.39,0,0,1,Light
16669,1,1.75,0.1001,1,1,1.75,1.75,0,0,1,Light
16706,1.5,4.47,0.265,2,2,3,2.97,1,0,1,Heavy
17242,1,3.01909090909091,0.235354545454545,3,2,4.5,2,0.909090909090909,0.0909090909090909,1,Heavy
17360,1,0.5,0.1001,1,1,0.5,0.5,0,0,1,Light
17452,1.5,5.365,0.29995,2,1,4,2.75,0.333333333333333,0,1.5,Heavy
17830,2,8.5,0.499866666666667,1,2,5,1.5,0.333333333333333,0,1,Heavy
18528,1.66666666666667,5.31333333333333,0.233366666666667,1,2,4,2.97,0.6,0.4,1,Heavy
18575,1,4.94375,0.2686625,2,1,6,2.99,0.875,0,1,Heavy
19316,1,2.66666666666667,0.0983666666666667,2,2,3,2,1,0,1,Light
19627,1.66666666666667,5.99,0.3665,1,1,5,0,0.4,0.6,1,Heavy
19693,1,3.5,0.1001,1,1,3.5,3.5,0,0,1,Light
19745,1.5,5.935,0.287375,4,3,5,2.5,0.833333333333333,0,1,Heavy
19970,1,2.911875,0.10379375,1,4,4,1.99,0.6875,0,1,Light
20350,1,1.39,0.1001,1,1,1.39,1.39,0,0,1,Light
20577,1,2.24,0.1001,1,1,2.49,1.99,0,0,1,Light
20598,1,3.3,0.095,1,1,3.3,3.3,0,0,1,Light
20599,1,2.656,0.09806,2,3,3,2.5,0.6,0,1,Light
20887,1,1.85,0.1001,1,1,1.85,1.85,0,0,1,Light
21018,1,1.75,0.1001,1,1,1.75,1.75,0,0,1,Light
21034,1,2,0.1001,1,1,2,2,1,0,1,Light
21035,1,2.1,0.1000625,1,1,2.1,2.1,0,0,1,Light
21086,1,2,0.1001,1,1,2,2,1,0,1,Light
21306,1,1.5,0.1001,1,1,1.5,1.5,0,0,1,Light
21440,2.125,9.75,0.5497875,1,1,5,4,1,0,1,Heavy
21877,1,3.75,0.266566666666667,2,2,5,2.25,1,0,1,Heavy
21889,1,3,0.1001,1,1,3,3,1,0,1,Light
21893,1.10526315789474,2.99210526315789,0.0778684210526316,1,3,3.9,2,0.380952380952381,0,1,Light
21986,1.14285714285714,4.30857142857143,0.262785714285714,3,4,5.79,2.47,1,0,1.07142857142857,Heavy
21994,1,1.75,0.1001,1,1,1.75,1.75,0,0,1,Light
22145,1.58333333333333,6.73083333333333,0.349466666666667,2,2,7,0,0.736842105263158,0.157894736842105,1,Heavy
22308,1,3.66333333333333,0.1001,2,2,4,3,0,0,1,Light
22476,3.33333333333333,10.0533333333333,0.866333333333333,1,1,3.5,2.29,1,0,1,Heavy
22630,1,1.75,0.1001,1,1,1.75,1.75,0,0,1,Light
22879,2,6.87166666666667,0.275183333333333,2,4,6.75,2.49,0.416666666666667,0,1.16666666666667,Heavy
23462,1,1.925,0.075,1,2,2,1.85,0.5,0,1,Light
23464,1.16666666666667,4.58333333333333,0.228266666666667,2,3,5,3.25,1,0,1,Heavy
23783,1,1.75,0.1001,1,1,1.75,1.75,0,0,1,Light
23849,1,4.25333333333333,0.263233333333333,2,2,5.79,2.97,0.333333333333333,0,1,Heavy
23851,1,2.76,0.1001,1,1,2.78,2.74,0,0,1,Light
23874,3,12,0.8997,1,1,4,4,1,0,1,Heavy
24045,1.75,3.0725,0.324875,2,1,1.79,1.59,0,0,1,Heavy
24105,1.57142857142857,6.14285714285714,0.385642857142857,3,1,5,0,0.727272727272727,0.272727272727273,1,Heavy
24208,1,4.7475,0.2999,2,1,5,4,1,0,1,Heavy
24456,1,3.1975,0.247425,2,2,3.5,2.5,1,0,1,Heavy
24501,2,5.8625,0.3973,2,3,4,2.3,0.875,0,1,Heavy
24511,1,0.5,0.1001,1,1,0.5,0.5,0,0,1,Light
24534,2.33333333333333,11.1533333333333,0.466433333333333,3,1,5.99,0,0.357142857142857,0.428571428571429,1.16666666666667,Heavy
24714,1,3.1225,0.096275,1,1,3.5,2.49,1,0,1,Light
24718,1,2,0.0499,1,1,2,2,1,0,1,Light
24778,2,8,1.0002,1,1,4,4,1,0,1,Heavy
24806,1.5,6.48,0.44985,2,1,5,3.98,1,0,1.5,Heavy
24815,9,5.4,0.9009,1,1,0.6,0.6,0,0,1,Heavy
24838,1.3,5.174,0.23099,1,1,4.5,3,0.923076923076923,0,1,Heavy
25018,1,2.13,0.100066666666667,2,3,3,1.39,0.666666666666667,0,1,Light
25075,1,4.39,0.1,1,1,4.39,4.39,0,0,1,Light
25172,1,1.1675,0.1001,2,1,1.39,0.5,0.25,0,1,Light
25234,1,4.75866666666667,0.286566666666667,1,1,5.89,3.87,0.533333333333333,0,1,Heavy
25237,4.1875,1.968125,0.41916875,2,1,0.47,0.47,0,0,1.0625,Heavy
25349,1,1.11,0.1001,1,1,1.75,0.47,0,0,1,Light
25727,1,1.5,0.1001,1,1,1.5,1.5,1,0,1,Light
25870,1,1.99666666666667,0.108366666666667,2,4,2.5,1.75,0.666666666666667,0,1,Light
25937,1.16666666666667,2.73166666666667,0.107941666666667,1,5,3.59,1.64,0.857142857142857,0,1,Light
25964,1,2,0.0601,1,1,2,2,0,0,1,Light
25979,1,3.985,0.2499,1,2,5,2.97,1,0,1,Heavy
25982,1,1.494,0.10002,2,1,1.75,1.39,0.2,0,1,Light
26057,1,4.5,0.2499,1,2,5,4,1,0,1,Heavy
26085,1,1.85,0.1001,1,1,1.85,1.85,0,0,1,Light
26143,1,1.75,0.1001,1,1,1.75,1.75,0,0,1,Light
26598,1,4.89,0.2999,1,1,4.89,4.89,0,1,1,Heavy
26614,1,3.345,0.1001,2,1,3.39,3.3,0.5,0,1,Light
26636,1.1,4.167,0.29889,1,3,4.89,2.47,0.727272727272727,0,1,Heavy
26647,1,2.4375,0.081175,1,2,3.25,2,0.75,0,1,Light
26673,1,3.3,0.095,1,1,3.3,3.3,0,0,1,Light
26703,1,4.6,0.2999,1,1,5,4,0.8,0,1,Heavy
26746,1.11111111111111,5.87666666666667,0.4,2,2,7,3,0.2,0,1,Heavy
26975,1,3,0.0499,1,1,3,3,0,0,1,Light
27005,1,1.86846153846154,0.1001,1,2,3.49,1.55,0,0,1,Light
27045,1.25,4.67,0.2674,3,3,4.89,3.25,1,0,1,Heavy
27180,1,1.75,0.1001,1,1,1.75,1.75,0,0,1,Light
27235,1.5,5.88625,0.2561875,2,2,5,1.49,0.833333333333333,0,1,Heavy
27412,1,4,0.2499,1,1,4,4,1,0,1,Heavy
27429,1.36363636363636,5.82636363636364,0.325372727272727,3,3,11,2,0.8,0,1,Heavy
27788,1.33333333333333,6.22222222222222,0.377644444444444,2,1,5,4,1,0,1,Heavy
27884,1.8,7.694,0.35982,2,1,5.99,0,0.666666666666667,0.333333333333333,1,Heavy
27888,1.16666666666667,4.83333333333333,0.249933333333333,1,1,5,3,1,0,1,Heavy
27902,1.25,3.64,0.244875,1,1,3.29,2.49,1,0,1.25,Heavy
27948,1.25,4.4975,0.2374,1,1,4,2.99,1,0,1,Heavy
28374,1,2.53333333333333,0.116633333333333,1,3,3,2,0.666666666666667,0,1,Light
28595,1.09090909090909,4.73181818181818,0.269018181818182,2,2,5,3.29,1,0,1,Heavy
28720,1.4,4.896,0.22622,1,2,5.49,2.5,0.821428571428571,0,1.05,Heavy
28749,1.5,4.47,0.2649,2,2,3,2.97,0.333333333333333,0,1,Heavy
28779,1,1.39,0.1001,1,1,1.39,1.39,0,0,1,Light
28853,1.33333333333333,5.57666666666667,0.273333333333333,1,1,6.59,3.29,0.875,0,1,Heavy
29000,1.25,5.1225,0.1121,1,2,5.99,2,0.6,0,1,Light
29017,1.05,3.2,0.105105,1,1,3.5,3,0.857142857142857,0,1,Light
29125,2,6.85714285714286,0.342771428571429,2,2,4.5,3,0.857142857142857,0,1,Heavy
29425,1.5,5.175,0.225,1,1,4.35,3,0.666666666666667,0,1,Heavy
29454,1.11111111111111,4.09888888888889,0.244333333333333,3,2,5,2.47,1,0,1,Heavy
29473,1.27272727272727,2.02363636363636,0.254418181818182,1,1,1.59,1.59,0,0,1,Heavy
29624,1,2.432,0.0499,1,1,2.98,2,0.4,0,1,Light
29733,1.5,5.765,0.31994,3,4,5,2.25,0.733333333333333,0.133333333333333,1.2,Heavy
30000,1,4.7475,0.2999,3,1,5,4,1,0,1,Heavy
30021,1,4.495,0.2499,1,1,5,3.99,0.5,0,1,Heavy
30233,1.33333333333333,3.24,0.266533333333333,2,2,2.94,2.24,0.75,0,1,Heavy
30575,1,4,0.2999,1,1,4,4,1,0,1,Heavy
30705,1,2.9,0.2999,1,1,2.9,2.9,0,0,1,Heavy
30943,1,3.4175,0.1001,1,1,3.5,3.28,0,0,1,Light
31029,1.61538461538462,8.04461538461539,0.461392307692308,2,1,5.79,3,0.80952380952381,0,1.07692307692308,Heavy
31282,1,2.5,0.1001,1,1,2.5,2.5,1,0,1,Light
31319,1.28571428571429,2.33,0.235714285714286,2,1,2.79,1.39,0,0,1.07142857142857,Heavy
31384,1,3.85666666666667,0.2266,1,2,4.99,3.29,1,0,1,Heavy
31614,1,4.20833333333333,0.2649,2,3,5,3,0.833333333333333,0,1,Heavy
31656,1.66666666666667,5.04166666666667,0.233366666666667,3,4,5,2,0.9,0,1,Heavy
31920,1.11111111111111,4.74888888888889,0.227711111111111,2,1,5.49,3,0.9,0,1,Heavy
32389,1,2.49,0.1001,1,1,2.49,2.49,1,0,1,Light
32733,1,0.5,0.1001,1,1,0.5,0.5,0,0,1,Light
32952,1,4.99,0.2999,1,1,4.99,4.99,1,0,1,Heavy
33061,2,5.18,0.3998,1,1,2.59,2.59,0,0,1,Heavy
33395,2.4,7.2,0.27018,2,1,4.5,0,0.75,0.25,1,Heavy
33715,1,3.39,0.2499,1,2,4.99,1.79,0.5,0,1,Heavy
33903,1,3.3,0.1001,1,1,3.3,3.3,0,0,1,Light
33915,1.44444444444444,5.06666666666667,0.305433333333333,1,2,5,2.8,0.461538461538462,0,1,Heavy
34263,3,12.455,0.5997,1,1,5,3.97,1,0,1,Heavy
34516,1,5,0.2999,1,1,5,5,1,0,1,Heavy
34715,2,6.25,0.27505,1,1,3.5,3,0.75,0,1,Heavy
34738,1,2.5,0.085,1,1,2.5,2.5,1,0,1,Light
34799,1,4.89,0.2999,1,1,4.89,4.89,0,1,1,Heavy
35299,1,1.75,0.1001,1,1,1.75,1.75,0,0,1,Light
35332,1.52631578947368,5.52631578947368,0.263110526315789,1,1,6,3,1,0,1,Heavy
35384,1,4.5,0.2499,1,2,5,4,1,0,1,Heavy
35634,1,5.99,0.2999,1,1,5.99,5.99,0,0,1,Heavy
35661,1.16666666666667,4.16666666666667,0.296616666666667,2,4,5,2.29,0.857142857142857,0,1,Heavy
35686,1.15384615384615,3.30769230769231,0.230653846153846,1,1,3,2.5,0,0.266666666666667,1,Heavy
35813,1,1.5,0.1001,1,1,1.5,1.5,1,0,1,Light
35973,1,5.495,0.2499,2,1,6,4.99,1,0,1,Heavy
36336,1.5,6.995,0.3749,1,1,6,2.99,1,0,1,Heavy
36561,1,3.3,0.1001,1,1,3.3,3.3,0,0,1,Light
36850,1.5,5.985,0.31875,2,1,5,2.97,1,0,1,Heavy
37320,1.66666666666667,5.27,0.307733333333333,3,2,5.99,1.99,0.866666666666667,0,1.22222222222222,Heavy
37399,1.25,3.03,0.1112625,3,3,3,2,1,0,1,Light
37400,1.33333333333333,3.63888888888889,0.266533333333333,1,1,2.8,1.95,0,0,1,Heavy
37435,1,3,0.1001,1,1,3,3,1,0,1,Light
37519,1,3.25,0.1001,1,1,3.5,3,0.5,0,1,Light
37576,1.875,2.5875,0.2350875,3,3,4,0.47,0.266666666666667,0.133333333333333,1.25,Heavy
37854,1.5,5.175,0.225,1,1,4.35,3,0.666666666666667,0,1,Heavy
38143,2,6,0.3,1,1,3,3,1,0,1,Heavy
38514,1.78125,5.0671875,0.380465625,1,5,5,2,1,0,1,Heavy
39316,1,2.78,0.1001,1,1,2.78,2.78,0,0,1,Light
39635,1.66666666666667,4.21333333333333,0.3665,1,2,3.5,2,1,0,1,Heavy
39689,1,1.75,0.1001,1,2,2,1.5,1,0,1,Light
40282,1.69230769230769,6.43615384615385,0.323407692307692,1,3,5,1.99,1,0,1,Heavy
40345,1,2.49,0.1001,1,1,2.49,2.49,0,0,1,Light
40530,1,3,0.095,1,1,3,3,1,0,1,Light
40536,1,4.89,0.2999,1,1,4.89,4.89,1,0,1,Heavy
41190,1.6,5.1,0.23002,3,1,4,3,0.75,0,1,Heavy
41591,1.83333333333333,7.11666666666667,0.285,1,1,4.5,2.8,0.545454545454545,0.181818181818182,1,Heavy
41657,1.4,4.966,0.24596,3,3,4.5,3,1,0,1,Heavy
41717,1.18181818181818,3.68818181818182,0.236245454545455,1,1,3.99,2.8,0,0,1,Heavy
41897,1,3.76333333333333,0.263266666666667,2,2,4,3.29,1,0,1,Heavy
41923,1.22222222222222,4.77777777777778,0.241577777777778,1,1,5,3,1,0,1,Heavy
42415,1,5.29375,0.37505,2,1,7,1.75,0,0,1,Heavy
42812,1,4.53666666666667,0.287677777777778,2,2,5,2.97,0.777777777777778,0.111111111111111,1,Heavy
43202,2.125,6.875,0.306275,2,2,5,2,0.882352941176471,0.117647058823529,1,Heavy
43378,1,1.39,0.1001,1,1,1.39,1.39,0,0,1,Light
43645,1,4.435,0.2999,2,1,4.89,3.98,0.5,0.5,1,Heavy
44073,1.88888888888889,7.55555555555556,0.366544444444444,2,1,6,3,1,0,1,Heavy
44189,1,4.63285714285714,0.257042857142857,3,1,7,3.99,0.857142857142857,0,1,Heavy
45163,1,2.5,0.0875,1,3,3,2,1,0,1,Light
45392,2,6.13,0.311357142857143,2,2,4.48,1.75,0.571428571428571,0,1,Heavy
45405,4,10,0.4004,1,1,2.5,2.5,0,1,1,Heavy
