Var1,Var2,Freq
Carte Noire,Carte Noire,450
Douwe Egbert,Carte Noire,57
Kenco,Carte Noire,137
Nescafe,Carte Noire,116
Other brands,Carte Noire,26
Supermarket own,Carte Noire,45
Carte Noire,Douwe Egbert,48
Douwe Egbert,Douwe Egbert,1572
Kenco,Douwe Egbert,498
Nescafe,Douwe Egbert,576
Other brands,Douwe Egbert,123
Supermarket own,Douwe Egbert,255
Carte Noire,Kenco,145
Douwe Egbert,Kenco,450
Kenco,Kenco,3442
Nescafe,Kenco,744
Other brands,Kenco,109
Supermarket own,Kenco,373
Carte Noire,Nescafe,116
Douwe Egbert,Nescafe,535
Kenco,Nescafe,688
Nescafe,Nescafe,9728
Other brands,Nescafe,189
Supermarket own,Nescafe,558
Carte Noire,Other brands,25
Douwe Egbert,Other brands,128
Kenco,Other brands,118
Nescafe,Other brands,186
Other brands,Other brands,817
Supermarket own,Other brands,118
Carte Noire,Supermarket own,52
Douwe Egbert,Supermarket own,263
Kenco,Supermarket own,372
Nescafe,Supermarket own,580
Other brands,Supermarket own,128
Supermarket own,Supermarket own,5551
