Var1,Var2,Freq
Carte Noire,Carte Noire,402
Douwe Egbert,Carte Noire,43
Kenco,Carte Noire,129
Nescafe,Carte Noire,81
Other brands,Carte Noire,41
Supermarket own,Carte Noire,58
Carte Noire,Douwe Egbert,46
Douwe Egbert,Douwe Egbert,433
Kenco,Douwe Egbert,79
Nescafe,Douwe Egbert,85
Other brands,Douwe Egbert,85
Supermarket own,Douwe Egbert,100
Carte Noire,Kenco,157
Douwe Egbert,Kenco,95
Kenco,Kenco,1418
Nescafe,Kenco,204
Other brands,Kenco,76
Supermarket own,Kenco,192
Carte Noire,Nescafe,92
Douwe Egbert,Nescafe,85
Kenco,Nescafe,202
Nescafe,Nescafe,1269
Other brands,Nescafe,64
Supermarket own,Nescafe,125
Carte Noire,Other brands,34
Douwe Egbert,Other brands,83
Kenco,Other brands,56
Nescafe,Other brands,54
Other brands,Other brands,412
Supermarket own,Other brands,82
Carte Noire,Supermarket own,48
Douwe Egbert,Supermarket own,100
Kenco,Supermarket own,167
Nescafe,Supermarket own,130
Other brands,Supermarket own,90
Supermarket own,Supermarket own,4222
