"","house","brand_clean","brand_count"
"1",10052,"Nescafe",1
"2",10052,"Supermarket own",1
"3",10112,"Douwe Egbert",2
"4",10112,"Supermarket own",5
"5",10456,"Carte Noire",8
"6",10570,"Carte Noire",1
"7",10752,"Carte Noire",1
"8",10752,"Douwe Egbert",1
"9",10752,"Kenco",1
"10",10761,"Nescafe",6
"11",10789,"Kenco",14
"12",10900,"Douwe Egbert",4
"13",10918,"Supermarket own",11
"14",10934,"Kenco",1
"15",10979,"Nescafe",1
"16",11023,"Douwe Egbert",6
"17",11023,"Kenco",18
"18",11023,"Nescafe",2
"19",11023,"Supermarket own",2
"20",11243,"Nescafe",8
"21",11271,"Nescafe",1
"22",11274,"Douwe Egbert",23
"23",11274,"Kenco",5
"24",11274,"Supermarket own",1
"25",11354,"Carte Noire",2
"26",11354,"Kenco",1
"27",11354,"Other brands",16
"28",11398,"Douwe Egbert",2
"29",11779,"Supermarket own",1
"30",11820,"Douwe Egbert",8
"31",11820,"Kenco",4
"32",11820,"Nescafe",21
"33",12218,"Supermarket own",1
"34",12311,"Nescafe",1
"35",12347,"Douwe Egbert",29
"36",12347,"Supermarket own",3
"37",12598,"Douwe Egbert",3
"38",12598,"Kenco",10
"39",12598,"Nescafe",2
"40",12672,"Douwe Egbert",11
"41",12914,"Douwe Egbert",2
"42",12936,"Douwe Egbert",10
"43",12936,"Nescafe",12
"44",12936,"Supermarket own",2
"45",12981,"Nescafe",8
"46",13025,"Other brands",9
"47",13095,"Nescafe",2
"48",13160,"Douwe Egbert",1
"49",13160,"Kenco",1
"50",13160,"Nescafe",12
"51",13271,"Kenco",2
"52",13271,"Other brands",1
"53",13301,"Kenco",6
"54",13326,"Douwe Egbert",1
"55",13326,"Supermarket own",1
"56",13332,"Nescafe",3
"57",13496,"Douwe Egbert",1
"58",13650,"Douwe Egbert",2
"59",13650,"Supermarket own",2
"60",13668,"Nescafe",1
"61",13757,"Carte Noire",2
"62",13757,"Douwe Egbert",1
"63",13757,"Nescafe",2
"64",13769,"Nescafe",1
"65",13882,"Supermarket own",9
"66",13903,"Carte Noire",4
"67",13903,"Kenco",2
"68",13903,"Nescafe",1
"69",13903,"Supermarket own",1
"70",13944,"Nescafe",1
"71",14099,"Douwe Egbert",1
"72",14099,"Kenco",10
"73",14099,"Nescafe",11
"74",14099,"Supermarket own",1
"75",14162,"Supermarket own",1
"76",14235,"Douwe Egbert",3
"77",14235,"Kenco",3
"78",14455,"Douwe Egbert",3
"79",14668,"Kenco",10
"80",14668,"Nescafe",1
"81",14718,"Douwe Egbert",3
"82",14718,"Other brands",3
"83",14829,"Kenco",1
"84",14829,"Nescafe",1
"85",14829,"Other brands",1
"86",14833,"Kenco",8
"87",14833,"Supermarket own",1
"88",14834,"Carte Noire",1
"89",14834,"Kenco",3
"90",14847,"Douwe Egbert",2
"91",14847,"Nescafe",12
"92",14852,"Kenco",2
"93",14852,"Nescafe",5
"94",14852,"Supermarket own",2
"95",14868,"Carte Noire",5
"96",14868,"Douwe Egbert",1
"97",14868,"Kenco",3
"98",14868,"Nescafe",1
"99",14868,"Supermarket own",6
"100",14888,"Kenco",2
"101",14894,"Douwe Egbert",3
"102",14894,"Kenco",5
"103",14900,"Nescafe",2
"104",14900,"Other brands",14
"105",14900,"Supermarket own",2
"106",14926,"Douwe Egbert",1
"107",14926,"Supermarket own",3
"108",14952,"Kenco",3
"109",14952,"Supermarket own",5
"110",14957,"Kenco",12
"111",14979,"Supermarket own",1
"112",14996,"Nescafe",3
"113",15183,"Kenco",1
"114",15183,"Supermarket own",3
"115",15187,"Carte Noire",1
"116",15187,"Kenco",13
"117",15188,"Nescafe",4
"118",15301,"Kenco",11
"119",15335,"Other brands",1
"120",15336,"Kenco",2
"121",15336,"Nescafe",1
"122",15454,"Douwe Egbert",1
"123",15470,"Nescafe",7
"124",15488,"Douwe Egbert",2
"125",15488,"Nescafe",3
"126",15546,"Carte Noire",2
"127",15546,"Kenco",6
"128",15546,"Nescafe",4
"129",15662,"Douwe Egbert",2
"130",15662,"Kenco",13
"131",15662,"Nescafe",7
"132",15662,"Other brands",6
"133",15663,"Nescafe",1
