"","house","shop_desc_clean","brand_count"
"1",10052,"aldi & lidl",1
"2",10052,"sainsburys",1
"3",10112,"aldi & lidl",2
"4",10112,"sainsburys",2
"5",10112,"tesco",3
"6",10456,"asda",8
"7",10570,"morrisons",1
"8",10752,"morrisons",1
"9",10752,"tesco",2
"10",10761,"sainsburys",6
"11",10789,"asda",4
"12",10789,"sainsburys",10
"13",10900,"tesco",4
"14",10918,"aldi & lidl",1
"15",10918,"sainsburys",10
"16",10934,"morrisons",1
"17",10979,"tesco",1
"18",11023,"aldi & lidl",4
"19",11023,"asda",2
"20",11023,"morrisons",22
"21",11243,"tesco",8
"22",11271,"sainsburys",1
"23",11274,"asda",21
"24",11274,"tesco",8
"25",11354,"tesco",19
"26",11398,"asda",2
"27",11779,"aldi & lidl",1
"28",11820,"asda",33
"29",12218,"aldi & lidl",1
"30",12311,"sainsburys",1
"31",12347,"asda",7
"32",12347,"morrisons",7
"33",12347,"sainsburys",4
"34",12347,"tesco",14
"35",12598,"morrisons",15
"36",12672,"morrisons",4
"37",12672,"sainsburys",7
"38",12914,"sainsburys",2
"39",12936,"aldi & lidl",4
"40",12936,"tesco",20
"41",12981,"tesco",8
"42",13025,"morrisons",9
"43",13095,"asda",2
"44",13160,"morrisons",14
"45",13271,"tesco",3
"46",13301,"sainsburys",6
"47",13326,"sainsburys",2
"48",13332,"morrisons",3
"49",13496,"asda",1
"50",13650,"morrisons",2
"51",13650,"sainsburys",2
"52",13668,"tesco",1
"53",13757,"morrisons",2
"54",13757,"sainsburys",1
"55",13757,"tesco",2
"56",13769,"sainsburys",1
"57",13882,"tesco",9
"58",13903,"asda",1
"59",13903,"sainsburys",2
"60",13903,"tesco",5
"61",13944,"sainsburys",1
"62",14099,"sainsburys",23
"63",14162,"morrisons",1
"64",14235,"morrisons",1
"65",14235,"sainsburys",2
"66",14235,"tesco",3
"67",14455,"morrisons",3
"68",14668,"morrisons",11
"69",14718,"morrisons",6
"70",14829,"sainsburys",1
"71",14829,"tesco",2
"72",14833,"morrisons",2
"73",14833,"sainsburys",6
"74",14833,"tesco",1
"75",14834,"sainsburys",3
"76",14834,"tesco",1
"77",14847,"asda",7
"78",14847,"sainsburys",6
"79",14847,"tesco",1
"80",14852,"aldi & lidl",1
"81",14852,"sainsburys",8
"82",14868,"asda",1
"83",14868,"sainsburys",15
"84",14888,"tesco",2
"85",14894,"asda",2
"86",14894,"sainsburys",5
"87",14894,"tesco",1
"88",14900,"tesco",18
"89",14926,"aldi & lidl",3
"90",14926,"asda",1
"91",14952,"sainsburys",8
"92",14957,"sainsburys",3
"93",14957,"tesco",9
"94",14979,"tesco",1
"95",14996,"sainsburys",2
"96",14996,"tesco",1
"97",15183,"aldi & lidl",2
"98",15183,"asda",2
"99",15187,"morrisons",1
"100",15187,"tesco",13
"101",15188,"sainsburys",1
"102",15188,"tesco",3
"103",15301,"sainsburys",2
"104",15301,"tesco",9
"105",15335,"tesco",1
"106",15336,"sainsburys",2
"107",15336,"tesco",1
"108",15454,"tesco",1
"109",15470,"asda",7
"110",15488,"asda",5
"111",15546,"sainsburys",12
"112",15662,"morrisons",4
"113",15662,"tesco",24
"114",15663,"tesco",1
"115",15732,"morrisons",1
"116",15885,"tesco",2
"117",15944,"aldi & lidl",1
"118",15944,"asda",4
"119",16015,"asda",5
"120",16060,"tesco",14
"121",16162,"sainsburys",1
"122",16581,"aldi & lidl",2
"123",16669,"morrisons",1
"124",16706,"asda",2
"125",16706,"sainsburys",1
"126",16907,"asda",10
"127",17212,"asda",9
"128",17212,"sainsburys",2
"129",17212,"tesco",29
"130",17242,"asda",2
"131",17242,"morrisons",8
"132",17242,"sainsburys",1
"133",17278,"asda",1
"134",17360,"tesco",1
"135",17452,"asda",1
"136",17452,"tesco",2
"137",17830,"tesco",6
"138",18026,"asda",2
"139",18026,"morrisons",3
"140",18091,"tesco",4
"141",18364,"sainsburys",1
"142",18364,"tesco",7
"143",18528,"asda",5
"144",18555,"aldi & lidl",2
"145",18558,"tesco",9
"146",18575,"asda",1
"147",18575,"morrisons",7
"148",18636,"sainsburys",1
"149",18786,"sainsburys",13
"150",18786,"tesco",11
"151",18789,"asda",2
"152",18789,"morrisons",13
"153",18789,"tesco",1
"154",18828,"tesco",4
"155",18931,"aldi & lidl",1
"156",19316,"sainsburys",1
"157",19316,"tesco",2
"158",19393,"morrisons",3
"159",19459,"asda",27
"160",19459,"morrisons",4
"161",19464,"morrisons",5
"162",19464,"sainsburys",5
"163",19464,"tesco",5
"164",19526,"sainsburys",4
"165",19627,"tesco",10
"166",19693,"tesco",1
"167",19745,"aldi & lidl",2
"168",19745,"asda",2
"169",19745,"sainsburys",3
"170",19745,"tesco",5
"171",19763,"morrisons",1
"172",19763,"tesco",1
"173",19970,"tesco",16
"174",20056,"sainsburys",2
"175",20084,"asda",5
"176",20115,"asda",1
